sample,timestamp_ms,variant,tap,edges,freq_khz,temp_c
0,0,carry,2,3258,834095.1,42.0
1,100,carry,4,1947,498440.0,42.0
2,200,carry,6,1398,357946.9,42.0
3,300,carry,8,1088,278561.6,42.0
4,400,carry,10,883,225942.5,42.0
5,500,carry,12,748,191556.4,42.0
6,600,carry,14,651,166730.6,42.0
7,700,carry,16,574,146919.3,42.0
8,800,carry,18,514,131572.3,42.0
9,900,carry,20,464,118743.0,42.0
10,1000,carry,22,426,108982.4,42.0
11,1100,carry,24,392,100233.3,42.0
12,1200,carry,26,362,92610.9,42.0
13,1300,carry,28,338,86498.4,42.0
14,1400,carry,30,315,80758.3,42.0
15,1500,carry,32,295,75562.3,42.0
16,1600,carry,34,279,71507.6,42.0
17,1700,carry,36,263,67373.2,42.0
18,1800,carry,38,251,64271.5,42.0
19,1900,carry,40,238,60966.5,42.0
20,2000,carry,42,227,58107.3,42.0
21,2100,carry,44,217,55442.1,42.0
22,2200,carry,46,209,53386.6,42.0
23,2300,carry,48,199,50996.8,42.0
24,2400,carry,50,191,48956.6,42.0
25,2500,carry,52,184,47120.0,42.0
26,2600,carry,54,178,45527.1,42.0
27,2700,carry,56,172,43907.7,42.0
28,2800,carry,58,166,42425.3,42.0
29,2900,carry,60,160,41036.6,42.0
30,3000,carry,62,156,39937.5,42.0
