sample,timestamp_ms,variant,tap,edges,freq_khz,temp_c
0,0,carry,32,295,75634.4,42.0
1,1,carry,32,295,75602.4,42.0
2,2,carry,32,295,75511.0,42.0
3,3,carry,32,297,75944.2,42.0
4,4,carry,32,297,76099.7,42.0
5,5,carry,32,296,75723.0,42.0
6,6,carry,32,295,75503.0,42.0
7,7,carry,32,295,75507.7,42.0
8,8,carry,32,297,75954.7,42.0
9,9,carry,32,297,75982.8,42.0
10,10,carry,32,297,75922.2,42.0
11,11,carry,32,295,75555.9,42.0
12,12,carry,32,296,75827.9,42.0
13,13,carry,32,296,75792.9,42.0
14,14,carry,32,296,75823.8,42.0
15,15,carry,32,297,76021.6,42.0
16,16,carry,32,296,75825.3,42.0
17,17,carry,32,297,75963.3,42.0
18,18,carry,32,296,75778.1,42.0
19,19,carry,32,296,75845.2,42.0
20,20,carry,32,297,75948.9,42.0
21,21,carry,32,294,75316.0,42.0
22,22,carry,32,296,75660.7,42.0
23,23,carry,32,295,75615.0,42.0
24,24,carry,32,295,75564.0,42.0
25,25,carry,32,296,75674.2,42.0
26,26,carry,32,298,76210.6,42.0
27,27,carry,32,295,75495.2,42.0
28,28,carry,32,297,76051.0,42.0
29,29,carry,32,294,75247.6,42.0
30,30,carry,32,296,75656.1,42.0
31,31,carry,32,296,75806.9,42.0
32,32,carry,32,297,75935.2,42.0
33,33,carry,32,297,75973.1,42.0
34,34,carry,32,297,75998.0,42.0
35,35,carry,32,296,75651.9,42.0
36,36,carry,32,295,75617.5,42.0
37,37,carry,32,297,76017.6,42.0
38,38,carry,32,296,75699.6,42.0
39,39,carry,32,294,75371.0,42.0
40,40,carry,32,295,75414.2,42.0
41,41,carry,32,295,75479.0,42.0
42,42,carry,32,297,75908.2,42.0
43,43,carry,32,296,75800.7,42.0
44,44,carry,32,297,75966.8,42.0
45,45,carry,32,295,75628.1,42.0
46,46,carry,32,296,75805.6,42.0
47,47,carry,32,297,75947.1,42.0
48,48,carry,32,296,75663.8,42.0
49,49,carry,32,296,75896.0,42.0
50,50,carry,32,295,75557.0,42.0
51,51,carry,32,295,75647.6,42.0
52,52,carry,32,295,75641.9,42.0
53,53,carry,32,295,75395.2,42.0
54,54,carry,32,297,75905.1,42.0
55,55,carry,32,295,75615.3,42.0
56,56,carry,32,296,75761.4,42.0
57,57,carry,32,296,75903.3,42.0
58,58,carry,32,296,75892.9,42.0
59,59,carry,32,297,75959.2,42.0
60,60,carry,32,296,75727.7,42.0
61,61,carry,32,295,75629.3,42.0
62,62,carry,32,296,75733.4,42.0
63,63,carry,32,294,75246.3,42.0
64,64,carry,32,294,75319.1,42.0
65,65,carry,32,294,75356.8,42.0
66,66,carry,32,295,75455.4,42.0
67,67,carry,32,296,75878.7,42.0
68,68,carry,32,295,75483.2,42.0
69,69,carry,32,295,75643.0,42.0
70,70,carry,32,297,76151.3,42.0
71,71,carry,32,296,75649.6,42.0
72,72,carry,32,297,75981.1,42.0
73,73,carry,32,295,75474.7,42.0
74,74,carry,32,296,75695.3,42.0
75,75,carry,32,295,75469.7,42.0
76,76,carry,32,296,75654.8,42.0
77,77,carry,32,297,76012.2,42.0
78,78,carry,32,294,75234.1,42.0
79,79,carry,32,296,75889.2,42.0
80,80,carry,32,296,75829.6,42.0
81,81,carry,32,295,75577.5,42.0
