sample,timestamp_ms,variant,tap,edges,freq_khz,temp_c
0,0,carry,32,305,78196.5,25.0
1,1000,carry,32,305,77963.6,25.5
2,2000,carry,32,305,78127.3,26.0
3,3000,carry,32,304,77824.4,26.5
4,4000,carry,32,304,77882.7,26.9
5,5000,carry,32,305,78049.5,27.4
6,6000,carry,32,303,77626.4,27.9
7,7000,carry,32,304,77882.6,28.3
8,8000,carry,32,304,77792.0,28.7
9,9000,carry,32,302,77352.4,29.2
10,10000,carry,32,304,77742.4,29.6
11,11000,carry,32,303,77620.5,30.0
12,12000,carry,32,302,77425.1,30.4
13,13000,carry,32,301,77168.8,30.8
14,14000,carry,32,301,77091.6,31.2
15,15000,carry,32,301,77112.2,31.6
16,16000,carry,32,302,77309.4,32.0
17,17000,carry,32,300,76910.4,32.4
18,18000,carry,32,301,77181.4,32.8
19,19000,carry,32,300,76742.7,33.1
20,20000,carry,32,301,76932.9,33.5
21,21000,carry,32,301,76956.5,33.9
22,22000,carry,32,303,77447.1,34.2
23,23000,carry,32,299,76518.5,34.6
24,24000,carry,32,301,77128.6,34.9
25,25000,carry,32,300,76778.3,35.2
26,26000,carry,32,300,76793.5,35.5
27,27000,carry,32,300,76681.9,35.9
28,28000,carry,32,300,76713.4,36.2
29,29000,carry,32,299,76533.2,36.5
30,30000,carry,32,300,76860.3,36.8
31,31000,carry,32,298,76380.4,37.1
32,32000,carry,32,300,76704.1,37.4
33,33000,carry,32,298,76256.8,37.7
34,34000,carry,32,298,76351.3,38.0
35,35000,carry,32,297,76081.0,38.3
36,36000,carry,32,298,76392.6,38.5
37,37000,carry,32,299,76581.6,38.8
38,38000,carry,32,298,76196.6,39.1
39,39000,carry,32,297,76133.1,39.3
40,40000,carry,32,296,75887.9,39.6
41,41000,carry,32,297,76055.1,39.9
42,42000,carry,32,296,75709.6,40.1
43,43000,carry,32,296,75831.0,40.3
44,44000,carry,32,297,76057.7,40.6
45,45000,carry,32,298,76273.8,40.8
46,46000,carry,32,299,76581.0,41.1
47,47000,carry,32,296,75775.8,41.3
48,48000,carry,32,298,76204.9,41.5
49,49000,carry,32,296,75903.1,41.7
50,50000,carry,32,296,75783.1,42.0
51,51000,carry,32,296,75886.2,42.2
52,52000,carry,32,296,75772.8,42.4
53,53000,carry,32,296,75755.1,42.6
54,54000,carry,32,295,75609.2,42.8
55,55000,carry,32,294,75356.8,43.0
56,56000,carry,32,294,75296.6,43.2
57,57000,carry,32,296,75768.3,43.4
58,58000,carry,32,295,75531.0,43.6
59,59000,carry,32,295,75432.7,43.8
60,60000,carry,32,295,75544.3,44.0
61,61000,carry,32,296,75697.4,44.1
62,62000,carry,32,295,75533.5,44.3
63,63000,carry,32,294,75319.8,44.5
64,64000,carry,32,296,75722.1,44.7
65,65000,carry,32,296,75778.4,44.8
66,66000,carry,32,295,75509.9,45.0
67,67000,carry,32,295,75595.5,45.2
68,68000,carry,32,295,75633.7,45.3
69,69000,carry,32,295,75586.4,45.5
70,70000,carry,32,295,75448.2,45.7
71,71000,carry,32,295,75423.4,45.8
72,72000,carry,32,294,75384.7,46.0
73,73000,carry,32,293,74999.1,46.1
74,74000,carry,32,294,75384.8,46.3
75,75000,carry,32,293,74900.9,46.4
76,76000,carry,32,293,75008.0,46.5
77,77000,carry,32,295,75462.0,46.7
78,78000,carry,32,294,75338.6,46.8
79,79000,carry,32,295,75465.9,47.0
80,80000,carry,32,293,75051.1,47.1
81,81000,carry,32,292,74834.8,47.2
82,82000,carry,32,293,75022.5,47.4
83,83000,carry,32,293,75082.3,47.5
84,84000,carry,32,293,75060.0,47.6
85,85000,carry,32,294,75280.6,47.7
86,86000,carry,32,293,74927.6,47.8
87,87000,carry,32,293,75071.8,48.0
88,88000,carry,32,292,74754.3,48.1
89,89000,carry,32,293,75062.2,48.2
90,90000,carry,32,293,74946.2,48.3
91,91000,carry,32,292,74761.7,48.4
92,92000,carry,32,292,74862.3,48.5
93,93000,carry,32,292,74859.2,48.6
94,94000,carry,32,292,74825.4,48.7
95,95000,carry,32,294,75269.8,48.8
96,96000,carry,32,292,74835.8,48.9
97,97000,carry,32,292,74789.4,49.0
98,98000,carry,32,290,74359.8,49.1
99,99000,carry,32,291,74616.6,49.2
100,100000,carry,32,292,74745.2,49.3
101,101000,carry,32,292,74637.5,49.4
102,102000,carry,32,293,75088.7,49.5
103,103000,carry,32,292,74729.2,49.6
104,104000,carry,32,293,75042.9,49.7
