sample,timestamp_ms,variant,tap,edges,freq_khz,temp_c
0,0,carry,32,304,77897.0,25.0
1,5000,carry,32,305,77992.4,27.5
2,10000,carry,32,303,77492.8,30.0
3,15000,carry,32,301,77170.8,32.5
4,20000,carry,32,301,77152.3,35.0
5,25000,carry,32,299,76483.6,37.5
6,30000,carry,32,298,76181.3,40.0
7,35000,carry,32,298,76305.0,42.5
8,40000,carry,32,294,75302.4,45.0
9,45000,carry,32,292,74835.4,47.5
10,50000,carry,32,292,74778.0,50.0
11,55000,carry,32,291,74450.2,52.5
12,60000,carry,32,289,73908.4,55.0
13,65000,carry,32,287,73473.0,57.5
14,70000,carry,32,289,73888.6,60.0
15,75000,carry,32,286,73133.2,62.5
16,80000,carry,32,284,72586.1,65.0
17,85000,carry,32,284,72631.9,67.5
18,90000,carry,32,282,72099.0,70.0
19,95000,carry,32,280,71760.5,72.5
