sample,timestamp_ms,variant,tap,edges,freq_khz,temp_c
0,0,sync,32,23,6000.0,42.0
1,0,sync,32,23,5999.9,42.0
2,0,sync,32,23,6000.0,42.0
3,0,sync,32,23,6000.1,42.0
4,0,sync,32,23,6000.0,42.0
5,0,sync,32,23,6000.0,42.0
6,0,sync,32,23,6000.0,42.0
7,0,sync,32,23,6000.0,42.0
8,0,sync,32,23,6000.0,42.0
9,0,sync,32,23,6000.0,42.0
10,0,sync,32,23,6000.1,42.0
11,0,sync,32,23,5999.9,42.0
12,0,sync,32,23,6000.1,42.0
13,0,sync,32,23,6000.0,42.0
14,0,sync,32,23,6000.0,42.0
15,0,sync,32,23,5999.9,42.0
16,0,sync,32,23,6000.1,42.0
17,0,sync,32,23,6000.1,42.0
18,0,sync,32,23,6000.1,42.0
19,0,sync,32,23,5999.9,42.0
20,0,sync,32,23,6000.0,42.0
21,0,sync,32,23,6000.0,42.0
22,0,sync,32,23,5999.9,42.0
23,0,sync,32,23,6000.0,42.0
24,0,sync,32,23,6000.0,42.0
25,0,sync,32,23,6000.0,42.0
26,0,sync,32,23,6000.0,42.0
27,0,sync,32,23,6000.0,42.0
28,0,sync,32,23,6000.1,42.0
29,0,sync,32,23,6000.1,42.0
30,0,sync,32,23,5999.8,42.0
31,0,sync,32,23,6000.0,42.0
32,0,sync,32,23,6000.0,42.0
33,0,sync,32,23,5999.9,42.0
34,0,sync,32,23,6000.0,42.0
35,0,sync,32,23,6000.1,42.0
36,0,sync,32,23,5999.9,42.0
37,0,sync,32,23,6000.0,42.0
38,0,sync,32,23,5999.9,42.0
39,0,sync,32,23,6000.0,42.0
40,0,sync,32,23,6000.1,42.0
41,0,sync,32,23,6000.0,42.0
42,0,sync,32,23,6000.0,42.0
43,0,sync,32,23,5999.9,42.0
44,0,sync,32,23,6000.1,42.0
45,0,sync,32,23,6000.0,42.0
46,0,sync,32,23,6000.0,42.0
47,0,sync,32,23,6000.0,42.0
48,0,sync,32,23,5999.9,42.0
49,0,sync,32,23,6000.1,42.0
50,0,sync,32,23,6000.0,42.0
51,0,sync,32,23,6000.0,42.0
52,0,sync,32,23,6000.0,42.0
53,0,sync,32,23,6000.0,42.0
54,0,sync,32,23,6000.0,42.0
55,0,sync,32,23,6000.0,42.0
56,0,sync,32,23,6000.0,42.0
57,0,sync,32,23,6000.0,42.0
58,0,sync,32,23,6000.0,42.0
59,0,sync,32,23,6000.0,42.0
60,0,sync,32,23,6000.1,42.0
61,0,sync,32,23,5999.9,42.0
62,0,sync,32,23,6000.1,42.0
63,0,sync,32,23,6000.1,42.0
64,0,sync,32,23,5999.9,42.0
65,0,sync,32,23,6000.1,42.0
66,0,sync,32,23,6000.1,42.0
67,0,sync,32,23,6000.1,42.0
68,0,sync,32,23,6000.0,42.0
69,0,sync,32,23,6000.0,42.0
70,0,sync,32,23,6000.0,42.0
71,0,sync,32,23,6000.0,42.0
72,0,sync,32,23,6000.1,42.0
73,0,sync,32,23,6000.0,42.0
74,0,sync,32,23,5999.9,42.0
75,0,sync,32,23,6000.0,42.0
76,0,sync,32,23,6000.1,42.0
77,0,sync,32,23,6000.0,42.0
78,0,sync,32,23,6000.0,42.0
79,0,sync,32,23,6000.0,42.0
80,0,sync,32,23,5999.9,42.0
81,0,sync,32,23,5999.9,42.0
82,0,sync,32,23,5999.9,42.0
83,0,sync,32,23,6000.0,42.0
84,0,sync,32,23,6000.0,42.0
85,0,sync,32,23,6000.0,42.0
86,0,sync,32,23,5999.8,42.0
87,0,sync,32,23,5999.9,42.0
88,0,sync,32,23,6000.1,42.0
89,0,sync,32,23,6000.0,42.0
90,0,sync,32,23,6000.0,42.0
91,0,sync,32,23,5999.9,42.0
92,0,sync,32,23,6000.1,42.0
93,0,sync,32,23,6000.0,42.0
94,0,sync,32,23,6000.0,42.0
95,0,sync,32,23,6000.1,42.0
96,0,sync,32,23,6000.1,42.0
97,0,sync,32,23,6000.0,42.0
98,0,sync,32,23,6000.0,42.0
99,0,sync,32,23,6000.0,42.0
100,0,sync,32,23,6000.0,42.0
101,0,sync,32,23,6000.0,42.0
102,0,sync,32,23,6000.0,42.0
103,0,sync,32,23,6000.1,42.0
104,0,sync,32,23,6000.0,42.0
105,0,sync,32,23,6000.1,42.0
106,0,sync,32,23,6000.0,42.0
107,0,sync,32,23,6000.1,42.0
108,0,sync,32,23,6000.0,42.0
109,0,sync,32,23,6000.1,42.0
110,0,sync,32,23,6000.0,42.0
111,0,sync,32,23,5999.9,42.0
112,0,sync,32,23,6000.0,42.0
113,0,sync,32,23,6000.1,42.0
114,0,sync,32,23,6000.0,42.0
115,0,sync,32,23,5999.9,42.0
116,0,sync,32,23,5999.9,42.0
117,0,sync,32,23,5999.9,42.0
118,0,sync,32,23,5999.9,42.0
119,0,sync,32,23,6000.0,42.0
120,0,sync,32,23,6000.1,42.0
121,0,sync,32,23,6000.0,42.0
122,0,sync,32,23,5999.9,42.0
123,0,sync,32,23,6000.0,42.0
124,0,sync,32,23,6000.0,42.0
125,0,sync,32,23,6000.1,42.0
126,0,sync,32,23,5999.9,42.0
127,0,sync,32,23,6000.0,42.0
128,0,sync,32,23,6000.1,42.0
129,0,sync,32,23,6000.0,42.0
130,0,sync,32,23,6000.0,42.0
131,0,sync,32,23,6000.0,42.0
132,0,sync,32,23,6000.0,42.0
133,0,sync,32,23,6000.0,42.0
134,0,sync,32,23,6000.0,42.0
135,0,sync,32,23,6000.1,42.0
136,0,sync,32,23,5999.9,42.0
137,0,sync,32,23,6000.0,42.0
138,0,sync,32,23,6000.0,42.0
139,0,sync,32,23,6000.0,42.0
140,0,sync,32,23,6000.0,42.0
141,0,sync,32,23,6000.0,42.0
142,0,sync,32,23,5999.9,42.0
143,0,sync,32,23,6000.0,42.0
144,0,sync,32,23,5999.9,42.0
145,0,sync,32,23,6000.0,42.0
146,0,sync,32,23,5999.9,42.0
147,0,sync,32,23,6000.0,42.0
148,0,sync,32,23,5999.9,42.0
149,0,sync,32,23,6000.0,42.0
150,0,sync,32,23,6000.0,42.0
151,0,sync,32,23,6000.1,42.0
152,0,sync,32,23,6000.0,42.0
153,0,sync,32,23,6000.0,42.0
154,0,sync,32,23,6000.0,42.0
155,0,sync,32,23,5999.9,42.0
156,0,sync,32,23,6000.0,42.0
157,0,sync,32,23,6000.1,42.0
158,0,sync,32,23,6000.0,42.0
159,0,sync,32,23,6000.0,42.0
160,0,sync,32,23,6000.0,42.0
161,0,sync,32,23,6000.1,42.0
162,0,sync,32,23,5999.9,42.0
163,0,sync,32,23,5999.9,42.0
164,0,sync,32,23,6000.0,42.0
165,0,sync,32,23,6000.0,42.0
166,0,sync,32,23,6000.1,42.0
167,0,sync,32,23,6000.0,42.0
168,0,sync,32,23,5999.9,42.0
169,0,sync,32,23,5999.9,42.0
170,0,sync,32,23,5999.8,42.0
171,0,sync,32,23,6000.0,42.0
172,0,sync,32,23,6000.0,42.0
173,0,sync,32,23,6000.0,42.0
174,0,sync,32,23,6000.1,42.0
175,0,sync,32,23,6000.1,42.0
176,0,sync,32,23,6000.0,42.0
177,0,sync,32,23,5999.9,42.0
178,0,sync,32,23,6000.0,42.0
179,0,sync,32,23,6000.0,42.0
180,0,sync,32,23,6000.0,42.0
181,0,sync,32,23,6000.1,42.0
182,0,sync,32,23,5999.9,42.0
183,0,sync,32,23,6000.1,42.0
184,0,sync,32,23,5999.9,42.0
185,0,sync,32,23,6000.0,42.0
186,0,sync,32,23,5999.9,42.0
187,0,sync,32,23,5999.9,42.0
188,0,sync,32,23,6000.1,42.0
189,0,sync,32,23,6000.0,42.0
190,0,sync,32,23,6000.1,42.0
191,0,sync,32,23,6000.0,42.0
192,0,sync,32,23,6000.0,42.0
193,0,sync,32,23,6000.1,42.0
194,0,sync,32,23,6000.0,42.0
195,0,sync,32,23,5999.9,42.0
196,0,sync,32,23,6000.0,42.0
197,0,sync,32,23,6000.0,42.0
198,0,sync,32,23,6000.0,42.0
199,0,sync,32,23,5999.9,42.0
200,0,carry,32,295,75538.1,42.0
201,0,carry,32,295,75581.3,42.0
202,0,carry,32,295,75646.8,42.0
203,0,carry,32,294,75340.6,42.0
204,0,carry,32,295,75567.2,42.0
205,0,carry,32,295,75536.8,42.0
206,0,carry,32,297,75991.4,42.0
207,0,carry,32,297,76002.8,42.0
208,0,carry,32,296,75713.4,42.0
209,0,carry,32,295,75638.8,42.0
210,0,carry,32,296,75800.0,42.0
211,0,carry,32,295,75510.1,42.0
212,0,carry,32,295,75410.1,42.0
213,0,carry,32,295,75472.7,42.0
214,0,carry,32,295,75565.2,42.0
215,0,carry,32,295,75405.0,42.0
216,0,carry,32,296,75806.7,42.0
217,0,carry,32,297,75978.7,42.0
218,0,carry,32,294,75276.6,42.0
219,0,carry,32,296,75765.2,42.0
220,0,carry,32,296,75690.9,42.0
221,0,carry,32,296,75861.1,42.0
222,0,carry,32,296,75753.7,42.0
223,0,carry,32,294,75317.1,42.0
224,0,carry,32,294,75375.0,42.0
225,0,carry,32,296,75766.5,42.0
226,0,carry,32,297,76069.3,42.0
227,0,carry,32,293,75086.6,42.0
228,0,carry,32,296,75862.3,42.0
229,0,carry,32,297,76118.1,42.0
230,0,carry,32,296,75711.2,42.0
231,0,carry,32,297,75924.3,42.0
232,0,carry,32,295,75544.5,42.0
233,0,carry,32,296,75721.4,42.0
234,0,carry,32,294,75266.4,42.0
235,0,carry,32,293,75047.2,42.0
236,0,carry,32,297,76043.3,42.0
237,0,carry,32,295,75459.1,42.0
238,0,carry,32,295,75619.5,42.0
239,0,carry,32,294,75337.4,42.0
240,0,carry,32,294,75330.3,42.0
241,0,carry,32,296,75704.9,42.0
242,0,carry,32,295,75536.5,42.0
243,0,carry,32,296,75872.1,42.0
244,0,carry,32,296,75894.7,42.0
245,0,carry,32,296,75854.8,42.0
246,0,carry,32,296,75829.9,42.0
247,0,carry,32,298,76235.7,42.0
248,0,carry,32,295,75434.1,42.0
249,0,carry,32,296,75740.9,42.0
250,0,carry,32,297,76100.8,42.0
251,0,carry,32,297,76140.8,42.0
252,0,carry,32,294,75326.7,42.0
253,0,carry,32,296,75662.9,42.0
254,0,carry,32,298,76169.1,42.0
255,0,carry,32,297,75911.5,42.0
256,0,carry,32,296,75816.7,42.0
257,0,carry,32,296,75691.6,42.0
258,0,carry,32,295,75641.3,42.0
259,0,carry,32,296,75844.9,42.0
260,0,carry,32,296,75681.1,42.0
261,0,carry,32,296,75744.7,42.0
262,0,carry,32,296,75781.4,42.0
263,0,carry,32,295,75552.1,42.0
264,0,carry,32,297,75918.8,42.0
265,0,carry,32,299,76640.7,42.0
266,0,carry,32,294,75219.1,42.0
267,0,carry,32,296,75855.8,42.0
268,0,carry,32,295,75527.2,42.0
269,0,carry,32,297,75932.5,42.0
270,0,carry,32,296,75771.7,42.0
271,0,carry,32,297,75988.4,42.0
272,0,carry,32,297,76113.8,42.0
273,0,carry,32,296,75815.9,42.0
274,0,carry,32,297,76100.6,42.0
275,0,carry,32,293,75047.2,42.0
276,0,carry,32,298,76239.5,42.0
277,0,carry,32,296,75871.2,42.0
278,0,carry,32,297,76084.2,42.0
279,0,carry,32,294,75387.9,42.0
280,0,carry,32,295,75505.8,42.0
281,0,carry,32,296,75801.8,42.0
282,0,carry,32,296,75752.4,42.0
283,0,carry,32,296,75843.4,42.0
284,0,carry,32,297,76086.2,42.0
285,0,carry,32,294,75222.7,42.0
286,0,carry,32,297,76052.7,42.0
287,0,carry,32,296,75760.1,42.0
288,0,carry,32,296,75695.8,42.0
